UniqueId,ValCarrier,JourneyType,Pax_A_BaseFare,Pax_A_Taxes,Origin,Destination,Camp_ID,ValidFrom,ValidTo,OperatingCarrierCode,SerialId,AirV,FltNum,D_AirportCode,D_AirportCityCode,D_AirportCountryCode,D_Terminal,D_Time,A_AirportCode,A_AirportCityCode,A_AirportCountryCode,A_Terminal,IsNextDayCount,A_Time,EquipType,IsReturn,BI_Pieces,BI_Description,Sector_Group,BaggageInfo
246,LH,1,1001,2,LHR,NBO,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,LH,1,LH,921,LHR,LON,GB,2,06:30,FRA,FRA,DE,1,0,09:05,32Q,False,0,No check-in baggage included in the fare,0,0 Pcs included
246,LH,1,1001,2,LHR,NBO,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,LH,2,LH,590,FRA,FRA,DE,1,11:15,NBO,NBO,KE,N,0,21:15,333,False,0,No check-in baggage included in the fare,0,0 Pcs included
246,LH,1,1001,2,LHR,NBO,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,LH,3,LH,591,NBO,NBO,KE,N,23:00,FRA,FRA,DE,1,1,05:30,333,True,0,No check-in baggage included in the fare,1,0 Pcs included
246,LH,1,1001,2,LHR,NBO,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,LH,4,LH,900,FRA,FRA,DE,1,08:00,LHR,LON,GB,2,0,08:45,32Q,True,0,No check-in baggage included in the fare,1,0 Pcs included
245,LH,1,1001,2,LHR,ADD,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,LH,1,LH,909,LHR,LON,GB,2,15:30,FRA,FRA,DE,1,0,18:05,32N,False,0,No check-in baggage included in the fare,0,0 Pcs included
245,LH,1,1001,2,LHR,ADD,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,ET,2,LH,9694,FRA,FRA,DE,1,21:35,ADD,ADD,ET,2,1,06:25,359,False,0,No check-in baggage included in the fare,0,0 Pcs included
245,LH,1,1001,2,LHR,ADD,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,ET,3,LH,9695,ADD,ADD,ET,2,23:50,FRA,FRA,DE,1,1,05:25,359,True,0,No check-in baggage included in the fare,1,0 Pcs included
245,LH,1,1001,2,LHR,ADD,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,LH,4,LH,900,FRA,FRA,DE,1,08:00,LHR,LON,GB,2,0,08:45,32Q,True,0,No check-in baggage included in the fare,1,0 Pcs included
244,LH,1,1001,2,LHR,ADD,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,LH,1,LH,915,LHR,LON,GB,2,17:30,FRA,FRA,DE,1,0,20:05,32N,False,0,No check-in baggage included in the fare,0,0 Pcs included
244,LH,1,1001,2,LHR,ADD,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,ET,2,LH,9694,FRA,FRA,DE,1,21:35,ADD,ADD,ET,2,1,06:25,359,False,0,No check-in baggage included in the fare,0,0 Pcs included
