UniqueId,ValCarrier,JourneyType,Pax_A_BaseFare,Pax_A_Taxes,Origin,Destination,Camp_ID,ValidFrom,ValidTo,OperatingCarrierCode,SerialId,AirV,FltNum,D_AirportCode,D_AirportCityCode,D_AirportCountryCode,D_Terminal,D_Time,A_AirportCode,A_AirportCityCode,A_AirportCountryCode,A_Terminal,IsNextDayCount,A_Time,EquipType,IsReturn,BI_Pieces,BI_Description,Sector_Group,BaggageInfo,Currency
654,AY,1,2001,0,LHR,JFK,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,BA,1,AY,4042,LHR,LON,GB,5,16:20,DFW,DFW,US,7,0,19:30,77W,False,0,No check-in baggage included in the fare,0,0 Pcs included,GBP
654,AY,1,2001,0,LHR,JFK,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,2,AY,5534,DFW,DFW,US,8,19:50,LAS,LAS,US,5,1,07:50,777,True,0,No check-in baggage included in the fare,1,0 Pcs included,GBP
654,AY,1,2001,0,LHR,JFK,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,3,AY,5534,LAS,LAS,US,8,19:50,DFW,DFW,US,5,1,07:50,777,True,0,No check-in baggage included in the fare,1,0 Pcs included,GBP
654,AY,1,2001,0,LHR,JFK,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,4,AY,5534,DFW,DFW,US,8,19:50,LHR,LON,GB,5,1,07:50,777,True,0,No check-in baggage included in the fare,1,0 Pcs included,GBP
653,AY,1,2001,0,LHR,JFK,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,BA,1,AY,4042,LHR,LON,GB,5,16:20,JFK,JFK,US,7,0,19:30,77W,False,0,No check-in baggage included in the fare,0,0 Pcs included,GBP
653,AY,1,2001,0,LHR,JFK,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,2,AY,5534,JFK,JFK,US,8,19:50,LHR,LON,GB,5,1,07:50,777,True,0,No check-in baggage included in the fare,1,0 Pcs included,GBP
652,AY,1,2001,0,LHR,JFK,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,1,AY,5776,LHR,LON,GB,5,12:35,JFK,JFK,US,8,0,15:45,77W,False,0,No check-in baggage included in the fare,0,0 Pcs included,GBP
652,AY,1,2001,0,LHR,JFK,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,2,AY,5534,JFK,JFK,US,8,19:50,LHR,LON,GB,5,1,07:50,777,True,0,No check-in baggage included in the fare,1,0 Pcs included,GBP
651,AY,1,2001,0,LHR,JFK,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,1,AY,4042,LHR,LON,GB,5,16:20,JFK,JFK,US,7,0,19:30,77W,False,0,No check-in baggage included in the fare,0,0 Pcs included,GBP
651,AY,1,2001,0,LHR,JFK,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,BA,2,AY,3018,JFK,JFK,US,7,21:30,LHR,LON,GB,5,1,09:20,777,True,0,No check-in baggage included in the fare,1,0 Pcs included,GBP
650,AY,1,2001,0,LHR,JFK,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,1,AY,5776,LHR,LON,GB,5,12:35,JFK,JFK,US,N,0,15:45,77W,False,0,No check-in baggage included in the fare,0,0 Pcs included,GBP
650,AY,1,2001,0,LHR,JFK,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,BA,2,AY,3018,JFK,JFK,US,N,21:30,LHR,LON,GB,5,1,09:20,777,True,0,No check-in baggage included in the fare,1,0 Pcs included,GBP
649,AY,1,2001,0,LHR,IAH,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,1,AY,5966,LHR,LON,GB,5,09:30,IAH,IAH,US,E,0,14:15,789,False,0,No check-in baggage included in the fare,0,0 Pcs included,GBP
649,AY,1,2001,0,LHR,IAH,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AY,2,AY,3092,IAH,IAH,US,A,06:14,DFW,DFW,US,0,0,07:40,319,True,0,No check-in baggage included in the fare,1,0 Pcs included,GBP
649,AY,1,2001,0,LHR,IAH,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AY,3,AY,5928,DFW,DFW,US,0,15:20,LHR,LON,GB,5,1,06:20,77W,True,0,No check-in baggage included in the fare,1,0 Pcs included,GBP
648,AY,1,2001,0,LHR,IAH,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,1,AY,5966,LHR,LON,GB,5,09:30,IAH,IAH,US,E,0,14:15,789,False,0,No check-in baggage included in the fare,0,0 Pcs included,GBP
648,AY,1,2001,0,LHR,IAH,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AY,2,AY,3091,IAH,IAH,US,A,08:00,DFW,DFW,US,0,0,09:22,321,True,0,No check-in baggage included in the fare,1,0 Pcs included,GBP
648,AY,1,2001,0,LHR,IAH,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AY,3,AY,5928,DFW,DFW,US,0,15:20,LHR,LON,GB,5,1,06:20,77W,True,0,No check-in baggage included in the fare,1,0 Pcs included,GBP
647,AY,1,2001,0,LHR,IAH,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,1,AY,5966,LHR,LON,GB,5,09:30,IAH,IAH,US,E,0,14:15,789,False,0,No check-in baggage included in the fare,0,0 Pcs included,GBP
647,AY,1,2001,0,LHR,IAH,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AY,2,AY,4861,IAH,IAH,US,A,12:25,ORD,ORD,US,3,0,15:08,E75,True,0,No check-in baggage included in the fare,1,0 Pcs included,GBP
647,AY,1,2001,0,LHR,IAH,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AY,3,AY,5897,ORD,ORD,US,3,19:00,LHR,LON,GB,5,1,08:40,788,True,0,No check-in baggage included in the fare,1,0 Pcs included,GBP
646,AY,1,2001,0,LHR,IAH,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,1,AY,5966,LHR,LON,GB,5,09:30,IAH,IAH,US,E,0,14:15,789,False,0,No check-in baggage included in the fare,0,0 Pcs included,GBP
646,AY,1,2001,0,LHR,IAH,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AY,2,AY,3099,IAH,IAH,US,A,10:18,DFW,DFW,US,0,0,11:43,CR9,True,0,No check-in baggage included in the fare,1,0 Pcs included,GBP
646,AY,1,2001,0,LHR,IAH,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AY,3,AY,5928,DFW,DFW,US,0,15:20,LHR,LON,GB,5,1,06:20,77W,True,0,No check-in baggage included in the fare,1,0 Pcs included,GBP
645,AY,1,2001,0,LHR,IAH,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,1,AY,5966,LHR,LON,GB,5,09:30,IAH,IAH,US,E,0,14:15,789,False,0,No check-in baggage included in the fare,0,0 Pcs included,GBP
645,AY,1,2001,0,LHR,IAH,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AY,2,AY,6107,IAH,IAH,US,A,12:21,DFW,DFW,US,0,0,13:46,319,True,0,No check-in baggage included in the fare,1,0 Pcs included,GBP
645,AY,1,2001,0,LHR,IAH,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AY,3,AY,5928,DFW,DFW,US,0,15:20,LHR,LON,GB,5,1,06:20,77W,True,0,No check-in baggage included in the fare,1,0 Pcs included,GBP
644,AY,1,2001,0,LHR,LAS,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,1,AY,5493,LHR,LON,GB,5,13:45,DFW,DFW,US,D,0,18:10,789,False,0,No check-in baggage included in the fare,0,0 Pcs included,GBP
