UniqueId,ValCarrier,JourneyType,Pax_A_BaseFare,Pax_A_Taxes,Origin,Destination,Camp_ID,ValidFrom,ValidTo,OperatingCarrierCode,SerialId,AirV,FltNum,D_AirportCode,D_AirportCityCode,D_AirportCountryCode,D_Terminal,D_Time,A_AirportCode,A_AirportCityCode,A_AirportCountryCode,A_Terminal,IsNextDayCount,A_Time,EquipType,IsReturn,BI_Pieces,BI_Description,Sector_Group,BaggageInfo
431,AY,1,1001,2,LHR,MEM,TJ_MMD,1/1/2019 0:00,1/1/2022 0:00,AA,1,AY,4029,LHR,LON,GB,5,1115,MIA,MIA,US,N,0,1620,77W,FALSE,0,No check-in baggage included in the fare,0,01 Pcs included
431,AY,1,1001,2,LHR,MEM,TJ_MMD,1/1/2019 0:00,1/1/2022 0:00,AA,2,AY,5298,MIA,MIA,US,N,2130,MEM,MEM,US,N,0,2301,ER4,FALSE,0,No check-in baggage included in the fare,0,01 Pcs included
431,AY,1,1001,2,LHR,MEM,TJ_MMD,1/1/2019 0:00,1/1/2022 0:00,AA,3,AY,6441,MEM,MEM,US,N,545,CLT,CLT,US,N,0,830,319,TRUE,0,No check-in baggage included in the fare,1,01 Pcs included
431,AY,1,1001,2,LHR,MEM,TJ_MMD,1/1/2019 0:00,1/1/2022 0:00,AA,4,AY,5669,CLT,CLT,US,N,1810,LHR,LON,GB,5,1,650,772,TRUE,0,No check-in baggage included in the fare,1,01 Pcs included
430,AY,1,1001,2,LHR,MEM,TJ_MMD,1/1/2019 0:00,1/1/2022 0:00,AA,1,AY,4032,LHR,LON,GB,5,935,MIA,MIA,US,N,0,1435,380,FALSE,0,No check-in baggage included in the fare,0,01 Pcs included
430,AY,1,1001,2,LHR,MEM,TJ_MMD,1/1/2019 0:00,1/1/2022 0:00,AA,2,AY,5298,MIA,MIA,US,N,2130,MEM,MEM,US,N,0,2301,ER4,FALSE,0,No check-in baggage included in the fare,0,01 Pcs included
430,AY,1,1001,2,LHR,MEM,TJ_MMD,1/1/2019 0:00,1/1/2022 0:00,AA,3,AY,4836,MEM,MEM,US,N,1105,CLT,CLT,US,N,0,1355,319,TRUE,0,No check-in baggage included in the fare,1,01 Pcs included
430,AY,1,1001,2,LHR,MEM,TJ_MMD,1/1/2019 0:00,1/1/2022 0:00,AA,4,AY,5669,CLT,CLT,US,N,1810,LHR,LON,GB,5,1,650,772,TRUE,0,No check-in baggage included in the fare,1,01 Pcs included
429,AY,1,1001,2,LHR,MEM,TJ_MMD,1/1/2019 0:00,1/1/2022 0:00,AA,1,AY,4029,LHR,LON,GB,5,1115,MIA,MIA,US,N,0,1620,77W,FALSE,0,No check-in baggage included in the fare,0,01 Pcs included
429,AY,1,1001,2,LHR,MEM,TJ_MMD,1/1/2019 0:00,1/1/2022 0:00,AA,2,AY,5298,MIA,MIA,US,N,2130,MEM,MEM,US,N,0,2301,ER4,FALSE,0,No check-in baggage included in the fare,0,01 Pcs included
429,AY,1,1001,2,LHR,MEM,TJ_MMD,1/1/2019 0:00,1/1/2022 0:00,AA,3,AY,5045,MEM,MEM,US,N,1245,CLT,CLT,US,N,0,1534,319,TRUE,0,No check-in baggage included in the fare,1,01 Pcs included
429,AY,1,1001,2,LHR,MEM,TJ_MMD,1/1/2019 0:00,1/1/2022 0:00,AA,4,AY,5669,CLT,CLT,US,N,1810,LHR,LON,GB,5,1,650,772,TRUE,0,No check-in baggage included in the fare,1,01 Pcs included
428,AY,1,1001,2,LHR,MEM,TJ_MMD,1/1/2019 0:00,1/1/2022 0:00,AA,1,AY,4059,LHR,LON,GB,5,1405,MIA,MIA,US,N,0,1910,777,FALSE,0,No check-in baggage included in the fare,0,01 Pcs included
428,AY,1,1001,2,LHR,MEM,TJ_MMD,1/1/2019 0:00,1/1/2022 0:00,AA,2,AY,5298,MIA,MIA,US,N,2130,MEM,MEM,US,N,0,2301,ER4,FALSE,0,No check-in baggage included in the fare,0,01 Pcs included
428,AY,1,1001,2,LHR,MEM,TJ_MMD,1/1/2019 0:00,1/1/2022 0:00,AA,3,AY,5045,MEM,MEM,US,N,1245,CLT,CLT,US,N,0,1534,319,TRUE,0,No check-in baggage included in the fare,1,01 Pcs included
428,AY,1,1001,2,LHR,MEM,TJ_MMD,1/1/2019 0:00,1/1/2022 0:00,AA,4,AY,5669,CLT,CLT,US,N,1810,LHR,LON,GB,5,1,650,772,TRUE,0,No check-in baggage included in the fare,1,01 Pcs included
427,AY,1,1001,2,LHR,MSY,TJ_MMD,1/1/2019 0:00,1/1/2022 0:00,AA,1,AY,4051,LHR,LON,GB,5,1535,MIA,MIA,US,5,0,1830,789,FALSE,0,No check-in baggage included in the fare,0,01 Pcs included
