UniqueId,ValCarrier,AirV,JourneyType,Pax_A_BaseFare,Pax_A_Taxes,Origin,Destination,Camp_ID,OfferType,ValidFromDate,ValidToDate,Status,ModifiedBy,OperatingCarrierCode,FltNum,SerialId,D_AirportCode,D_AirportCityCode,D_Terminal,D_AirportCountryCode,D_Time,D_DateTimeStamp,A_AirportCode,A_AirportCityCode,A_AirportCountryCode,A_Terminal,A_Time,A_DateTimeStamp,EquipType,IsNextDayCount,IsReturn,BaggageInfo
200,CX,CX,1,1001,1,LHR,HKG,TJAPP,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Prabhat,CX,252,1,LHR,LON,2,GB,12:20,T12:20:00.000+01:00,HKG,HKG,HK,1,7:05,T07:05:00.000+08:00,N,1,FALSE,0 Pcs included
200,CX,CX,1,1001,1,LHR,HKG,TJAPP,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Prabhat,CX,251,2,HKG,HKG,1,HK,23:55,T23:55:00.000+08:00,LHR,LON,GB,2,5:40,T05:40:00.000+01:00,N,1,TRUE,0 Pcs included
197,LH,LH,1,1001,1,LHR,SEA,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Prabhat,LH,921,1,LHR,LON,5,GB,6:30,T06:30:00.000+01:00,FRA,FRA,US,I,9:05,T09:05:00.000-05:00,788,0,FALSE,0 Pcs included
197,LH,LH,1,1001,1,LHR,SEA,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Prabhat,LH,490,2,FRA,FRA,N,US,10:45,T10:45:00.000-04:00,SEA,SEA,US,N,12:30,T12:30:00.000-04:00,738,0,FALSE,0 Pcs included
197,LH,LH,1,1001,1,LHR,SEA,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Prabhat,LH,7487,3,SEA,SEA,3,US,8:45,T08:45:00.000-04:00,IAD,IAD,US,N,16:48,T16:48:00.000-04:00,789,0,TRUE,0 Pcs included
197,LH,LH,1,1001,1,LHR,SEA,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Prabhat,LH,9259,4,IAD,IAD,3,US,18:20,T18:20:00.000-04:00,LHR,LON,GB,N,6:45,T06:45:00.000+01:00,789,0,TRUE,0 Pcs included
196,AY,AY,1,1001,1,LHR,SEA,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Prabhat,AA,4034,1,LHR,LON,5,GB,11:00,T11:00:00.000+01:00,ORD,ORD,US,I,15:00,T15:00:00.000-05:00,788,0,FALSE,0 Pcs included
196,AY,AY,1,1001,1,LHR,SEA,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Prabhat,AA,6819,2,ORD,ORD,N,US,16:45,T16:45:00.000-04:00,SEA,SEA,US,N,19:04,T19:04:00.000-04:00,738,0,FALSE,0 Pcs included
196,AY,AY,1,1001,1,LHR,SEA,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Prabhat,AA,3346,3,SEA,SEA,3,US,19:20,T19:20:00.000-04:00,LHR,LON,GB,N,12:40,T12:40:00.000-04:00,789,0,TRUE,0 Pcs included
195,LH,LH,1,1001,1,LHR,SEA,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Prabhat,LH,915,1,LHR,LON,5,GB,17:30,T17:30:00.000+01:00,FRA,FRA,US,I,20:05,T20:05:00.000-05:00,788,0,FALSE,0 Pcs included
195,LH,LH,1,1001,1,LHR,SEA,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Prabhat,LH,6819,2,FRA,FRA,N,US,16:45,T16:45:00.000-04:00,SEA,SEA,US,N,19:04,T19:04:00.000-04:00,738,0,FALSE,0 Pcs included
195,LH,LH,1,1001,1,LHR,SEA,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Prabhat,LH,7487,3,SEA,SEA,3,US,8:45,T08:45:00.000-04:00,IAD,IAD,US,N,16:48,T16:48:00.000-04:00,789,0,TRUE,0 Pcs included
